Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Sanfrecce,15.0,9.0,3.0,3.0,30.0,16.0,14.0,30.0,2.0,2.0,1.0666666666666667,14.0,6.0,7.0,1.0,23.0,12.0,11.0,25.0,1.79,1.6428571428571428,0.8571428571428571
Machida Zelvia,15.0,7.0,3.0,5.0,25.0,15.0,10.0,24.0,1.6,1.6666666666666667,1.0,14.0,9.0,4.0,1.0,18.0,7.0,11.0,31.0,2.21,1.2857142857142858,0.5
Vissel Kobe,14.0,6.0,4.0,4.0,22.0,14.0,8.0,22.0,1.57,1.5714285714285714,1.0,15.0,9.0,3.0,3.0,23.0,13.0,10.0,30.0,2.0,1.5333333333333334,0.8666666666666667
Kashima Antlers,14.0,9.0,5.0,0.0,23.0,10.0,13.0,32.0,2.29,1.6428571428571428,0.7142857142857143,14.0,5.0,1.0,8.0,21.0,24.0,-3.0,16.0,1.14,1.5,1.7142857142857142
Gamba Osaka,14.0,8.0,3.0,3.0,21.0,13.0,8.0,27.0,1.93,1.5,0.9285714285714286,14.0,5.0,6.0,3.0,11.0,9.0,2.0,21.0,1.5,0.7857142857142857,0.6428571428571429
Marinos,14.0,6.0,3.0,5.0,26.0,17.0,9.0,21.0,1.5,1.8571428571428572,1.2142857142857142,14.0,6.0,2.0,6.0,22.0,25.0,-3.0,20.0,1.43,1.5714285714285714,1.7857142857142858
Tokyo Verdy,14.0,4.0,7.0,3.0,20.0,18.0,2.0,19.0,1.36,1.4285714285714286,1.2857142857142858,15.0,6.0,4.0,5.0,17.0,23.0,-6.0,22.0,1.47,1.1333333333333333,1.5333333333333334
Avispa Fukuoka,15.0,4.0,5.0,6.0,13.0,18.0,-5.0,17.0,1.13,0.8666666666666667,1.2,14.0,5.0,6.0,3.0,15.0,12.0,3.0,21.0,1.5,1.0714285714285714,0.8571428571428571
Cerezo Osaka,14.0,6.0,5.0,3.0,21.0,20.0,1.0,23.0,1.64,1.5,1.4285714285714286,14.0,3.0,6.0,5.0,14.0,17.0,-3.0,15.0,1.07,1.0,1.2142857142857142
FC Tokyo,15.0,5.0,5.0,5.0,17.0,17.0,0.0,20.0,1.33,1.1333333333333333,1.1333333333333333,14.0,5.0,3.0,6.0,20.0,24.0,-4.0,18.0,1.29,1.4285714285714286,1.7142857142857142
Grampus,14.0,5.0,3.0,6.0,13.0,16.0,-3.0,18.0,1.29,0.9285714285714286,1.1428571428571428,14.0,6.0,1.0,7.0,19.0,18.0,1.0,19.0,1.36,1.3571428571428572,1.2857142857142858
Urawa Reds,13.0,6.0,3.0,4.0,25.0,17.0,8.0,21.0,1.62,1.9230769230769231,1.3076923076923077,14.0,3.0,6.0,5.0,17.0,20.0,-3.0,15.0,1.07,1.2142857142857142,1.4285714285714286
Albirex Niigata,14.0,3.0,6.0,5.0,20.0,22.0,-2.0,15.0,1.07,1.4285714285714286,1.5714285714285714,14.0,6.0,3.0,5.0,17.0,17.0,0.0,21.0,1.5,1.2142857142857142,1.2142857142857142
Kawa Frontale,14.0,5.0,5.0,4.0,23.0,16.0,7.0,20.0,1.43,1.6428571428571428,1.1428571428571428,14.0,3.0,5.0,6.0,19.0,24.0,-5.0,14.0,1.0,1.3571428571428572,1.7142857142857142
Kyoto Sanga,13.0,3.0,3.0,7.0,16.0,25.0,-9.0,12.0,0.92,1.2307692307692308,1.9230769230769231,15.0,6.0,4.0,5.0,17.0,20.0,-3.0,22.0,1.47,1.1333333333333333,1.3333333333333333
Kashiwa Reysol,14.0,4.0,4.0,6.0,16.0,20.0,-4.0,16.0,1.14,1.1428571428571428,1.4285714285714286,14.0,4.0,5.0,5.0,18.0,22.0,-4.0,17.0,1.21,1.2857142857142858,1.5714285714285714
Shonan Bellmare,14.0,3.0,3.0,8.0,18.0,19.0,-1.0,12.0,0.86,1.2857142857142858,1.3571428571428572,15.0,5.0,5.0,5.0,21.0,24.0,-3.0,20.0,1.33,1.4,1.6
J̼bilo Iwata,14.0,5.0,3.0,6.0,17.0,18.0,-1.0,18.0,1.29,1.2142857142857142,1.2857142857142858,14.0,2.0,4.0,8.0,17.0,31.0,-14.0,10.0,0.71,1.2142857142857142,2.2142857142857144
Consa Sapporo,15.0,4.0,4.0,7.0,19.0,22.0,-3.0,16.0,1.07,1.2666666666666666,1.4666666666666666,14.0,2.0,3.0,9.0,15.0,33.0,-18.0,9.0,0.64,1.0714285714285714,2.357142857142857
Sagan Tosu,15.0,4.0,2.0,9.0,21.0,26.0,-5.0,14.0,0.93,1.4,1.7333333333333334,14.0,3.0,1.0,10.0,15.0,31.0,-16.0,10.0,0.71,1.0714285714285714,2.2142857142857144
